vem_id,merc_id,expert,weight,raw_probability,top_r,delta
VEM0001,MERC00001,sarima,0.9992847648322647,0.9989194869995117,2,0.0
VEM0001,MERC00001,lightgbm,0.0007152351677353063,0.0007149737211875618,2,0.0
VEM0001,MERC00002,sarima,0.9804989873412023,0.9598660469055176,2,0.0
VEM0001,MERC00002,croston_tsb,0.01950101265879769,0.019090646877884865,2,0.0
VEM0001,MERC00003,lightgbm,0.5659381473957129,0.5317639112472534,2,0.0
VEM0001,MERC00003,sarima,0.43406185260428715,0.407850980758667,2,0.0
VEM0001,MERC00004,sarima,0.7488394559899249,0.7069779634475708,2,0.0
VEM0001,MERC00004,lightgbm,0.25116054401007515,0.23712021112442017,2,0.0
VEM0001,MERC00005,sarima,0.9846505713723847,0.9828073978424072,2,0.0
VEM0001,MERC00005,ets,0.015349428627615333,0.01532069593667984,2,0.0
VEM0001,MERC00006,sarima,0.9108881105747964,0.8803654313087463,2,0.0
VEM0001,MERC00006,ets,0.08911188942520361,0.08612586557865143,2,0.0
VEM0002,MERC00001,sarima,0.98175810978829,0.9760379791259766,2,0.0
VEM0002,MERC00001,lightgbm,0.018241890211709973,0.01813560537993908,2,0.0
VEM0002,MERC00002,sarima,0.9648902398319645,0.9064022898674011,2,0.0
VEM0002,MERC00002,lightgbm,0.03510976016803546,0.03298154100775719,2,0.0
VEM0002,MERC00003,lightgbm,0.6337938178320558,0.6002679467201233,2,0.0
VEM0002,MERC00003,sarima,0.3662061821679442,0.3468349277973175,2,0.0
VEM0002,MERC00004,sarima,0.9902139427087269,0.9868708848953247,2,0.0
VEM0002,MERC00004,ets,0.009786057291273097,0.009753018617630005,2,0.0
VEM0002,MERC00005,sarima,0.9847598821028343,0.9747342467308044,2,0.0
VEM0002,MERC00005,lightgbm,0.015240117897165771,0.01508496142923832,2,0.0
VEM0002,MERC00006,sarima,0.9924845120792134,0.9896517395973206,2,0.0
VEM0002,MERC00006,lightgbm,0.007515487920786577,0.007494037039577961,2,0.0
VEM0003,MERC00001,sarima,0.9750159237810897,0.9710709452629089,2,0.0
VEM0003,MERC00001,lightgbm,0.024984076218910255,0.02488298900425434,2,0.0
VEM0003,MERC00002,sarima,0.8180213698344896,0.6422958374023438,2,0.0
VEM0003,MERC00002,timemixer,0.18197863016551044,0.14288638532161713,2,0.0
VEM0003,MERC00003,lightgbm,0.7479258789045355,0.7382879257202148,2,0.0
VEM0003,MERC00003,sarima,0.25207412109546445,0.2488258332014084,2,0.0
VEM0003,MERC00004,sarima,0.990891695709273,0.9856584668159485,2,0.0
VEM0003,MERC00004,ets,0.00910830429072697,0.009060200303792953,2,0.0
VEM0003,MERC00005,sarima,0.8643969345522781,0.8549515604972839,2,0.0
VEM0003,MERC00005,lightgbm,0.13560306544772197,0.13412131369113922,2,0.0
VEM0003,MERC00006,sarima,0.8814906742386998,0.8268222808837891,2,0.0
VEM0003,MERC00006,lightgbm,0.11850932576130022,0.11115960031747818,2,0.0
VEM0004,MERC00001,sarima,0.8229345128154514,0.8118048310279846,2,0.0
VEM0004,MERC00001,lightgbm,0.17706548718454868,0.17467078566551208,2,0.0
VEM0004,MERC00002,sarima,0.9975115947760353,0.9938406944274902,2,0.0
VEM0004,MERC00002,croston_tsb,0.002488405223964659,0.002479247748851776,2,0.0
VEM0004,MERC00003,sarima,0.9740191945448714,0.9284026622772217,2,0.0
VEM0004,MERC00003,timemixer,0.02598080545512862,0.024764038622379303,2,0.0
VEM0004,MERC00004,sarima,0.8309509030270582,0.6544255018234253,2,0.0
VEM0004,MERC00004,xgboost,0.1690490969729418,0.13313667476177216,2,0.0
VEM0004,MERC00005,sarima,0.6984962047879618,0.63675856590271,2,0.0
VEM0004,MERC00005,lightgbm,0.30150379521203813,0.2748549282550812,2,0.0
VEM0004,MERC00006,sarima,0.9852596873312187,0.973934531211853,2,0.0
VEM0004,MERC00006,lightgbm,0.014740312668781272,0.014570878818631172,2,0.0
